dim_release_key,release_dt,projection_method,method_label,method_family,method_order,signal_value,scale_factor,projected_fix_cnt,low_fix_cnt,high_fix_cnt,assumption
b1036aa132d59c6301b245e14d25cebd,2025-08-14,reversion,reversion,series,1,,,66,54,79,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
b1036aa132d59c6301b245e14d25cebd,2025-08-14,seasonal_baseline,seasonal baseline,reference,10,,,49,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
b1036aa132d59c6301b245e14d25cebd,2025-08-14,trend,trend,series,2,,,71,,,"least-squares line through every earlier full-quarter release, extended one slot"
c6d9135a49bdef377840c6e9b647981b,2025-11-13,blended,blended (equal weight),reference,9,,,60,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
c6d9135a49bdef377840c6e9b647981b,2025-11-13,committed_scaled,committed fixes,signal,7,46,1.348837,62,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
c6d9135a49bdef377840c6e9b647981b,2025-11-13,escalation,escalation,series,4,,,72,,,the latest release is the new base and growth continues at the fitted trend rate
c6d9135a49bdef377840c6e9b647981b,2025-11-13,message_scaled,list messages,signal,6,3069,0.021426,66,,,early list messages times the historical median shipped-fixes-per-early-message ratio
c6d9135a49bdef377840c6e9b647981b,2025-11-13,origin_scaled,committed fixes by origin,signal,8,46,,68,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
c6d9135a49bdef377840c6e9b647981b,2025-11-13,regime_repeat,regime repeat,series,3,,,71,,,whatever produced the latest release keeps delivering at that level
c6d9135a49bdef377840c6e9b647981b,2025-11-13,report_scaled,bug reports,signal,5,30,1.693878,51,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
c6d9135a49bdef377840c6e9b647981b,2025-11-13,reversion,reversion,series,1,,,69,57,81,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
c6d9135a49bdef377840c6e9b647981b,2025-11-13,seasonal_baseline,seasonal baseline,reference,10,,,69,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
c6d9135a49bdef377840c6e9b647981b,2025-11-13,trend,trend,series,2,,,73,,,"least-squares line through every earlier full-quarter release, extended one slot"
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,blended,blended (equal weight),reference,9,,,78,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,committed_scaled,committed fixes,signal,7,65,1.522244,99,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,escalation,escalation,series,4,,,80,,,the latest release is the new base and growth continues at the fitted trend rate
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,message_scaled,list messages,signal,6,3682,0.022698,84,,,early list messages times the historical median shipped-fixes-per-early-message ratio
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,origin_scaled,committed fixes by origin,signal,8,65,,82,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,regime_repeat,regime repeat,series,3,,,78,,,whatever produced the latest release keeps delivering at that level
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,report_scaled,bug reports,signal,5,28,1.786939,50,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,reversion,reversion,series,1,,,70,58,82,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,seasonal_baseline,seasonal baseline,reference,10,,,65,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,trend,trend,series,2,,,75,,,"least-squares line through every earlier full-quarter release, extended one slot"
e689c36b2ed92991eecb44650ef67992,2022-11-10,blended,blended (equal weight),reference,9,,,46,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
e689c36b2ed92991eecb44650ef67992,2022-11-10,committed_scaled,committed fixes,signal,7,54,1.017857,55,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
e689c36b2ed92991eecb44650ef67992,2022-11-10,escalation,escalation,series,4,,,30,,,the latest release is the new base and growth continues at the fitted trend rate
e689c36b2ed92991eecb44650ef67992,2022-11-10,message_scaled,list messages,signal,6,2753,0.017939,49,,,early list messages times the historical median shipped-fixes-per-early-message ratio
e689c36b2ed92991eecb44650ef67992,2022-11-10,origin_scaled,committed fixes by origin,signal,8,54,,53,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
e689c36b2ed92991eecb44650ef67992,2022-11-10,regime_repeat,regime repeat,series,3,,,39,,,whatever produced the latest release keeps delivering at that level
e689c36b2ed92991eecb44650ef67992,2022-11-10,report_scaled,bug reports,signal,5,25,1.325581,33,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
e689c36b2ed92991eecb44650ef67992,2022-11-10,trend,trend,series,2,,,31,,,"least-squares line through every earlier full-quarter release, extended one slot"
